Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
11471333;	48203180;	504	51	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	4	2419
11471383;	48203163;	504	4	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	4	2605
11472050;	48202883;	504	59	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	9	5115
11472321;	48202790;	503	23	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	10	5925
11473948;	48202179;	502	139	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	22	11085
11474633;	48201923;	502	58	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	26	13420
11475475;	48201651;	502	70	1000	0	0	0	0	railway=rail	railway=signal	32	16044
11480512;	48199943;	503	95	1000	0	0	0	0	railway=rail		39	20333
11484823;	48198867;	504	667	1000	0	0	0	0	railway=rail	railway=signal	53	30599
11485489;	48198727;	503	52	1000	0	0	0	0	railway=rail	railway=switch	57	32643
11486058;	48198636;	502	43	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	60	34249
11486079;	48198632;	502	2	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	61	34323
11486453;	48198548;	502	29	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	63	35306
11487113;	48198401;	502	52	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	67	37510
11487140;	48198395;	502	2	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	67	37596
11487258;	48198370;	503	9	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	68	38019
11488001;	48198226;	503	57	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	73	40719
11488042;	48198217;	503	3	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	73	40854
11488299;	48198158;	503	20	1000	0	0	0	0	reversedirection=yes railway=rail	railway=unknown	74	41712
11488685;	48198076;	502	30	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	77	42776
11489093;	48198005;	501	31	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	79	43770
11489186;	48197984;	501	5	1000	0	0	0	0	railway=rail		80	43930
