Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
11471333;	48203180;	504	51	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	4	2419
11471383;	48203163;	504	4	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	4	2605
11472050;	48202883;	504	59	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	9	5115
11472856;	48202489;	502	74	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	15	7553
11473061;	48202400;	502	18	1000	0	0	0	0	railway=rail	railway=signal	16	8209
11473201;	48202340;	502	12	1000	0	0	0	0	railway=rail	railway=signal	17	8658
11473227;	48202329;	502	2	1000	0	0	0	0	railway=rail	railway=switch	17	8734
11473551;	48202208;	502	28	1000	0	0	0	0	railway=rail	railway=switch	19	9872
11474983;	48201734;	501	119	1000	0	0	0	0	railway=rail	railway=signal	29	14408
11478515;	48200522;	502	122	1000	0	0	0	0	railway=rail		39	19285
11484145;	48198915;	504	629	1000	0	0	0	0	railway=rail	railway=signal	50	30190
11485020;	48198723;	503	69	1000	0	0	0	0	railway=rail	railway=switch	55	33097
11485073;	48198715;	503	4	1000	0	0	0	0	railway=rail	railway=switch	56	33256
11486063;	48198558;	502	76	1000	0	0	0	0	railway=rail	railway=switch	62	35803
11486165;	48198541;	502	8	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	62	36101
11487113;	48198401;	502	72	1000	0	0	0	0	railway=rail	railway=switch	68	38819
11487140;	48198395;	502	2	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	68	38907
11487258;	48198370;	503	9	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	69	39343
11488001;	48198226;	503	57	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	74	42100
11488042;	48198217;	503	3	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	74	42237
11488299;	48198158;	503	20	1000	0	0	0	0	reversedirection=yes railway=rail	railway=unknown	75	43107
11488685;	48198076;	502	30	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	78	44187
11489093;	48198005;	501	31	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	80	45193
11489186;	48197984;	501	5	1000	0	0	0	0	railway=rail		81	45354
