Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
11471333;	48203180;	504	51	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	4	2419
11471383;	48203163;	504	4	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	4	2605
11472112;	48202967;	503	58	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	9	4995
11472590;	48202805;	502	40	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	12	6236
11473006;	48202661;	502	35	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	15	7465
11473726;	48202449;	502	58	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	19	9613
11474566;	48202179;	503	69	1000	0	0	0	0	railway=rail	railway=signal	25	12655
11480561;	48200123;	504	195	1000	0	0	0	0	railway=rail		40	21504
11484854;	48199043;	504	648	1000	0	0	0	0	railway=rail	railway=signal	51	29117
11485505;	48198855;	503	52	1000	0	0	0	0	railway=rail	railway=switch	55	31203
11485789;	48198795;	503	22	1000	0	0	0	0	railway=rail	railway=signal	57	32045
11485987;	48198747;	502	16	1000	0	0	0	0	railway=rail	railway=switch	59	32608
11487126;	48198495;	502	89	1000	0	0	0	0	railway=rail	railway=switch	66	35916
11487195;	48198479;	502	5	1000	0	0	0	0	railway=rail	railway=signal	66	36126
11487302;	48198454;	502	8	1000	0	0	0	0	railway=rail	railway=switch	67	36480
11487994;	48198272;	503	55	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	71	39097
11488057;	48198257;	503	5	1000	0	0	0	0	railway=rail	railway=signal	72	39330
11488313;	48198198;	503	20	1000	0	0	0	0	railway=rail	railway=unknown	73	40216
11488694;	48198114;	501	30	1000	0	0	0	0	railway=rail	railway=signal	76	41257
11489093;	48198005;	501	32	1000	0	0	0	0	railway=rail	railway=switch	78	42265
11489186;	48197984;	501	5	1000	0	0	0	0	railway=rail		78	42434
